publisher,count
PeerJ,1184
Springer Nature,432
"""eLife Sciences Organisation, Ltd.""",375
Public Library of Science,338
Oxford University Press,207
Proceedings of the National Academy of Sciences,205
Public Library of Science,196
Springer Nature,187
Public Library of Science,169
The Genetics Society of America,168
Oxford University Press,148
The Genetics Society of America,120
The Genetics Society of America,104
NULL,104
Cold Spring Harbor Laboratory,104
Oxford University Press,100
MDPI AG,98
NULL,96
MDPI AG,96
Springer (Biomed Central Ltd.),92
MDPI AG,86
JMIR Publications Inc.,83
MDPI AG,80
MDPI AG,79
Springer (Biomed Central Ltd.),76
Society for Neuroscience,73
Oxford University Press,68
PeerJ,67
MDPI AG,67
Springer Nature,66
Springer Nature,63
JMIR Publications Inc.,62
MDPI AG,57
JMIR Publications Inc.,52
MDPI AG,52
Wiley (Blackwell Publishing),49
Oxford University Press,47
MDPI AG,46
MDPI AG,43
Public Library of Science,43
Elsevier ,42
Springer Nature,41
MDPI AG,40
Oxford University Press,39
"""F1000 Research, Ltd.""",36
Elsevier ,36
Elsevier ,34
American Chemical Society,34
Wiley (Blackwell Publishing),34
The Royal Society,32
American Association for the Advancement of Science (AAAS),32
Public Library of Science,31
MDPI AG,30
Public Library of Science,30
Frontiers Media SA,30
Elsevier ,30
Elsevier ,29
The Royal Society,28
Wiley (Blackwell Publishing),27
Springer Nature,27
Wiley (Blackwell Publishing),25
MDPI AG,24
Microbiology Society,24
Wiley (John Wiley & Sons),24
Society for Neuroscience,23
JMIR Publications Inc.,23
Springer (Biomed Central Ltd.),22
American Physiological Society,22
Oxford University Press,22
Springer Nature,21
Oxford University Press,21
MDPI AG,20
Springer (Biomed Central Ltd.),20
American Society for Biochemistry and Molecular Biology,20
Elsevier ,20
JMIR Publications Inc.,19
The Royal Society,19
EMBO,19
The University of Chicago Press,19
American Association for the Advancement of Science (AAAS),18
MDPI AG,18
"""Impact Journals, LLC """,18
Cold Spring Harbor Laboratory,18
Wiley (Blackwell Publishing),18
NULL,17
Springer Nature,17
MDPI AG,17
The Rockefeller University Press,17
Wiley (John Wiley & Sons),17
American Society for Microbiology,16
Springer Nature,16
MDPI AG,16
Springer (Biomed Central Ltd.),16
EMBO,16
MDPI AG,15
Springer (Biomed Central Ltd.),15
Frontiers Media SA,15
The Royal Society,15
Wiley (Blackwell Publishing),15
Elsevier ,15
MDPI AG,14
Oxford University Press,14
Springer (Biomed Central Ltd.),14
The Company of Biologists,14
NULL,14
Wiley (Blackwell Publishing),14
Springer Nature,14
JMIR Publications Inc.,13
MDPI AG,13
Frontiers Media SA,13
IOP Publishing,13
Elsevier ,13
MDPI AG,12
NULL,12
Springer Nature,12
American Society of Plant Biologists,12
Elsevier ,11
JMIR Publications Inc.,11
MDPI AG,11
Springer (Biomed Central Ltd.),11
Wiley (John Wiley & Sons),11
JMIR Publications Inc.,10
MDPI AG,10
Frontiers Media SA,10
NULL,10
MIT Press,10
Oxford University Press,10
Wiley (Blackwell Publishing),10
American Physical Society,10
Elsevier ,10
American Society of Plant Biologists,10
American Society for Microbiology,9
MDPI AG,9
Frontiers Media SA,9
NULL,9
American Chemical Society,9
Cold Spring Harbor Laboratory,9
Wiley (John Wiley & Sons),9
MDPI AG,8
Springer Nature,8
Public Library of Science,8
The Royal Society,8
Frontiers Media SA,8
Elsevier ,8
Oxford University Press,8
American Society for Biochemistry and Molecular Biology,8
EMBO,8
Springer (Biomed Central Ltd.),8
Springer-Verlag,8
JMIR Publications Inc.,7
MDPI AG,7
Wiley (Blackwell Publishing),7
Oxford University Press,7
Springer (Biomed Central Ltd.),7
The Royal Society,7
Frontiers Media SA,7
Springer-Verlag,7
Mary Ann Liebert,7
Landes Bioscience,7
American Association for Cancer Research,7
American Chemical Society,7
Springer Nature,7
The Company of Biologists,7
Portland Press,7
Elsevier ,7
Scientific Societies,7
"""F1000 Research, Ltd.""",6
Springer Nature,6
American Society for Microbiology,6
American Society for Clinical Investigation,6
JMIR Publications Inc.,6
MDPI AG,6
Mary Ann Liebert,6
Springer (Biomed Central Ltd.),6
Wiley (John Wiley & Sons),6
Springer-Verlag,6
The American Association of Immunologists,6
The Company of Biologists,6
NULL,6
Elsevier ,6
Wiley (Blackwell Publishing),6
MIT Press,5
MDPI AG,5
