issn,publisher,title
2167-8359,PeerJ,PeerJ
2045-2322,Springer Nature,Scientific Reports
2050-084X,"""eLife Sciences Organisation, Ltd.""",eLife
1932-6203,Public Library of Science,PLoS ONE
1460-2059,Oxford University Press,Bioinformatics
1367-4803,Oxford University Press,Bioinformatics
1091-6490,Proceedings of the National Academy of Sciences,Proceedings of the National Academy of Sciences
0027-8424,Proceedings of the National Academy of Sciences,Proceedings of the National Academy of Sciences
1553-7358,Public Library of Science,PLoS Computational Biology
2041-1723,Springer Nature,Nature Communications
1553-7404,Public Library of Science,PLoS Genetics
0016-6731,The Genetics Society of America,Genetics
1362-4962,Oxford University Press,Nucleic Acids Research
0305-1048,Oxford University Press,Nucleic Acids Research
1943-2631,The Genetics Society of America,Genetics
2160-1836,The Genetics Society of America,G3 Genes|Genome|Genetics
1088-9051,Cold Spring Harbor Laboratory,Genome Research
1537-1719,Oxford University Press,Molecular Biology and Evolution
0737-4038,Oxford University Press,Molecular Biology and Evolution
1996-1073,MDPI AG,Energies
1424-8220,MDPI AG,Sensors
1471-2164,Springer (Biomed Central Ltd.),BMC Genomics
1422-0067,MDPI AG,International Journal of Molecular Sciences
1438-8871,JMIR Publications Inc.,Journal of Medical Internet Research
2071-1050,MDPI AG,Sustainability
1420-3049,MDPI AG,Molecules
1471-2105,Springer (Biomed Central Ltd.),BMC Bioinformatics
1529-2401,Society for Neuroscience,Journal of Neuroscience
0270-6474,Society for Neuroscience,Journal of Neuroscience
1759-6653,Oxford University Press,Genome Biology and Evolution
2376-5992,PeerJ,PeerJ Computer Science
1660-4601,MDPI AG,International Journal of Environmental Research and Public Health
1546-1718,Springer Nature,Nature Genetics
1061-4036,Springer Nature,Nature Genetics
1548-7105,Springer Nature,Nature Methods
1548-7091,Springer Nature,Nature Methods
1929-0748,JMIR Publications Inc.,JMIR Research Protocols
1996-1944,MDPI AG,Materials
2291-5222,JMIR Publications Inc.,JMIR mhealth and uhealth
1099-4300,MDPI AG,Entropy
0962-1083,Wiley (Blackwell Publishing),Molecular Ecology
2047-217X,Oxford University Press,GigaScience
2072-4292,MDPI AG,Remote Sensing
2072-6643,MDPI AG,Nutrients
1545-7885,Public Library of Science,PLoS Biology
1053-8119,Elsevier ,NeuroImage
1476-4687,Springer Nature,Nature
0028-0836,Springer Nature,Nature
2073-4441,MDPI AG,Water
1076-836X,Oxford University Press,Systematic Biology
1063-5157,Oxford University Press,Systematic Biology
2046-1402,"""F1000 Research, Ltd.""",F1000Research
0002-9297,Elsevier ,The American Journal of Human Genetics
2211-1247,Elsevier ,Cell Reports
2161-5063,American Chemical Society,ACS Synthetic Biology
0014-3820,Wiley (Blackwell Publishing),Evolution
1742-5689,The Royal Society,Journal of The Royal Society Interface
1742-5662,The Royal Society,Journal of The Royal Society Interface
1095-9203,American Association for the Advancement of Science (AAAS),Science
0036-8075,American Association for the Advancement of Science (AAAS),Science
1553-7374,Public Library of Science,PLoS Pathogens
2076-3417,MDPI AG,Applied Sciences
1935-2735,Public Library of Science,PLoS Neglected Tropical Diseases
1664-302X,Frontiers Media SA,Frontiers in Microbiology
0022-5193,Elsevier ,Journal of Theoretical Biology
0006-3495,Elsevier ,Biophysical Journal
1471-2954,The Royal Society,Proceedings of The Royal Society B Biological Sciences
0962-8452,The Royal Society,Proceedings of The Royal Society B Biological Sciences
1755-098X,Wiley (Blackwell Publishing),Molecular Ecology Resources
1546-1726,Springer Nature,Nature Neuroscience
1097-6256,Springer Nature,Nature Neuroscience
0028-646X,Wiley (Blackwell Publishing),New Phytologist
2075-4701,MDPI AG,Metals
2073-4360,MDPI AG,Polymers
2057-5858,Microbiology Society,Microbial Genomics
2045-7758,Wiley (John Wiley & Sons),Ecology and Evolution
2373-2822,Society for Neuroscience,eNeuro
2369-2960,JMIR Publications Inc.,JMIR Public Health and Surveillance
1756-994X,Springer (Biomed Central Ltd.),Genome Medicine
1522-1598,American Physiological Society,Journal of Neurophysiology
1460-2199,Oxford University Press,Cerebral Cortex
1047-3211,Oxford University Press,Cerebral Cortex
0022-3077,American Physiological Society,Journal of Neurophysiology
1751-7370,Springer Nature,The ISME Journal
1751-7362,Springer Nature,The ISME Journal
1460-2083,Oxford University Press,Human Molecular Genetics
0964-6906,Oxford University Press,Human Molecular Genetics
2075-4434,MDPI AG,Galaxies
2073-4352,MDPI AG,Crystals
1471-2148,Springer (Biomed Central Ltd.),BMC Evolutionary Biology
1083-351X,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry
0040-5809,Elsevier ,Theoretical Population Biology
0021-9258,American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry
2368-7959,JMIR Publications Inc.,JMIR Mental Health
2054-5703,The Royal Society,Royal Society Open Science
1744-4292,EMBO,Molecular Systems Biology
1537-5323,The University of Chicago Press,The American Naturalist
0003-0147,The University of Chicago Press,The American Naturalist
2375-2548,American Association for the Advancement of Science (AAAS),Science Advances
2073-8994,MDPI AG,Symmetry
1949-2553,"""Impact Journals, LLC """,Oncotarget
1469-9001,Cold Spring Harbor Laboratory,RNA
1355-8382,Cold Spring Harbor Laboratory,RNA
1010-061X,Wiley (Blackwell Publishing),Journal of Evolutionary Biology
2397-334X,Springer Nature,Nature Ecology & Evolution
2073-4433,MDPI AG,Atmosphere
1999-4907,MDPI AG,Forests
1540-8140,The Rockefeller University Press,The Journal of Cell Biology
1065-9471,Wiley (John Wiley & Sons),Human Brain Mapping
0021-9525,The Rockefeller University Press,The Journal of Cell Biology
2150-7511,American Society for Microbiology,mBio
2052-4463,Springer Nature,Scientific Data
1999-4915,MDPI AG,Viruses
1752-0509,Springer (Biomed Central Ltd.),BMC Systems Biology
1460-2075,EMBO,The EMBO Journal
0261-4189,EMBO,The EMBO Journal
2072-666X,MDPI AG,Micromachines
1741-7007,Springer (Biomed Central Ltd.),BMC Biology
1662-453X,Frontiers Media SA,Frontiers in Neuroscience
1471-2970,The Royal Society,Philosophical Transactions of the Royal Society B Biological Sciences
1461-023X,Wiley (Blackwell Publishing),Ecology Letters
0962-8436,The Royal Society,Philosophical Transactions of the Royal Society B Biological Sciences
0896-6273,Elsevier ,Neuron
0012-1606,Elsevier ,Developmental Biology
2079-4991,MDPI AG,Nanomaterials
2073-4425,MDPI AG,Genes
2057-1577,Oxford University Press,Virus Evolution
2049-2618,Springer (Biomed Central Ltd.),Microbiome
2046-6390,The Company of Biologists,Biology Open
1477-9129,The Company of Biologists,Development
1462-2912,Wiley (Blackwell Publishing),Environmental Microbiology
1359-4184,Springer Nature,Molecular Psychiatry
0950-1991,The Company of Biologists,Development
2291-9694,JMIR Publications Inc.,JMIR Medical Informatics
2220-9964,MDPI AG,ISPRS International Journal of Geo-Information
2076-3263,MDPI AG,Geosciences
1664-8021,Frontiers Media SA,Frontiers in Genetics
1478-3975,IOP Publishing,Physical Biology
2079-6412,MDPI AG,Coatings
1546-1696,Springer Nature,Nature Biotechnology
1532-298X,American Society of Plant Biologists,The Plant Cell
1087-0156,Springer Nature,Nature Biotechnology
1040-4651,American Society of Plant Biologists,The Plant Cell
2405-4712,Elsevier ,Cell Systems
2292-9495,JMIR Publications Inc.,JMIR Human Factors
2227-7390,MDPI AG,Mathematics
2227-7080,MDPI AG,Technologies
1756-8935,Springer (Biomed Central Ltd.),Epigenetics & Chromatin
1745-6150,Springer (Biomed Central Ltd.),Biology Direct
0960-9822,Elsevier ,Current Biology
0887-3585,Wiley (John Wiley & Sons),Proteins Structure Function and Bioinformatics
2369-3762,JMIR Publications Inc.,JMIR Medical Education
2297-8747,MDPI AG,Mathematical and Computational Applications
2076-0760,MDPI AG,Social Sciences
2075-163X,MDPI AG,Minerals
2073-4344,MDPI AG,Catalysts
1664-462X,Frontiers Media SA,Frontiers in Plant Science
1530-8898,MIT Press,Journal of Cognitive Neuroscience
1477-4054,Oxford University Press,Briefings in Bioinformatics
1467-5463,Oxford University Press,Briefings in Bioinformatics
1464-6722,Wiley (Blackwell Publishing),Molecular Plant Pathology
1079-7114,American Physical Society,Physical Review Letters
0960-7412,Wiley (Blackwell Publishing),The Plant Journal
0959-437X,Elsevier ,Current Opinion in Genetics & Development
0953-816X,Wiley (Blackwell Publishing),European Journal of Neuroscience
0898-929X,MIT Press,Journal of Cognitive Neuroscience
0165-0270,Elsevier ,Journal of Neuroscience Methods
0032-0889,American Society of Plant Biologists,PLANT PHYSIOLOGY
0031-9007,American Physical Society,Physical Review Letters
2379-5077,American Society for Microbiology,mSystems
2072-6651,MDPI AG,Toxins
1662-5188,Frontiers Media SA,Frontiers in Computational Neuroscience
1662-5161,Frontiers Media SA,Frontiers in Human Neuroscience
1520-6106,American Chemical Society,The Journal of Physical Chemistry B
1520-5207,American Chemical Society,The Journal of Physical Chemistry B
0890-9369,Cold Spring Harbor Laboratory,Genes & Development
0741-0395,Wiley (John Wiley & Sons),Genetic Epidemiology
2306-5729,MDPI AG,Data
2227-9091,MDPI AG,Risks
2226-4310,MDPI AG,Aerospace
2158-3188,Springer Nature,Translational Psychiatry
2157-3999,Public Library of Science,PLoS Currents
2079-8954,MDPI AG,Systems
2046-2441,The Royal Society,Open Biology
1662-5196,Frontiers Media SA,Frontiers in Neuroinformatics
1567-1348,Elsevier ,Infection Genetics and Evolution
1537-6613,Oxford University Press,The Journal of Infectious Diseases
1535-9484,American Society for Biochemistry and Molecular Biology,Molecular & Cellular Proteomics
1535-9476,American Society for Biochemistry and Molecular Biology,Molecular & Cellular Proteomics
1476-5438,Springer Nature,European Journal of Human Genetics
1469-3178,EMBO,EMBO Reports
1469-221X,EMBO,EMBO Reports
1465-6906,Springer (Biomed Central Ltd.),Genome Biology
1432-1416,Springer-Verlag,Journal of Mathematical Biology
1018-4813,Springer Nature,European Journal of Human Genetics
0303-6812,Springer-Verlag,Journal of Mathematical Biology
0028-3932,Elsevier ,Neuropsychologia
0022-1899,Oxford University Press,The Journal of Infectious Diseases
0006-291X,Elsevier ,Biochemical and Biophysical Research Communications
2561-1011,JMIR Publications Inc.,JMIR Cardio
2369-2529,JMIR Publications Inc.,JMIR Rehabilitation and Assistive Technologies
2313-433X,MDPI AG,Journal of Imaging
2312-7481,MDPI AG,Magnetochemistry
2311-5521,MDPI AG,Fluids
2227-9717,MDPI AG,Processes
2218-1997,MDPI AG,Universe
2072-6694,MDPI AG,Cancers
2041-210X,Wiley (Blackwell Publishing),Methods in Ecology and Evolution
1758-0463,Oxford University Press,Database
1755-8794,Springer (Biomed Central Ltd.),BMC Medical Genomics
1752-4571,Wiley (Blackwell Publishing),Evolutionary Applications
1744-957X,The Royal Society,Biology Letters
1744-9561,The Royal Society,Biology Letters
1662-5102,Frontiers Media SA,Frontiers in Cellular Neuroscience
1660-3397,MDPI AG,Marine Drugs
1573-4951,Springer-Verlag,Journal of Computer-Aided Molecular Design
1557-8666,Mary Ann Liebert,Journal of Computational Biology
1551-4005,Landes Bioscience,Cell Cycle
1538-7445,American Association for Cancer Research,Cancer Research
1538-4101,Landes Bioscience,Cell Cycle
1535-3907,American Chemical Society,Journal of Proteome Research
1535-3893,American Chemical Society,Journal of Proteome Research
1530-0366,Springer Nature,Genetics in Medicine
1522-9602,Springer-Verlag,Bulletin of Mathematical Biology
1477-9137,The Company of Biologists,Journal of Cell Science
1470-8728,Portland Press,Biochemical Journal
1464-3685,Oxford University Press,International Journal of Epidemiology
1460-2431,Oxford University Press,Journal of Experimental Botany
1098-3600,Springer Nature,Genetics in Medicine
1055-7903,Elsevier ,Molecular Phylogenetics and Evolution
1046-2023,Elsevier ,Methods
0920-654X,Springer-Verlag,Journal of Computer-Aided Molecular Design
0906-7590,Wiley (Blackwell Publishing),Ecography
0894-0282,Scientific Societies,Molecular Plant-Microbe Interactions
0300-5771,Oxford University Press,International Journal of Epidemiology
0264-6021,Portland Press,Biochemical Journal
0092-8240,Springer-Verlag,Bulletin of Mathematical Biology
0022-0957,Oxford University Press,Journal of Experimental Botany
0021-9533,The Company of Biologists,Journal of Cell Science
0008-5472,American Association for Cancer Research,Cancer Research
2398-502X,"""F1000 Research, Ltd.""",Wellcome Open Research
2397-3374,Springer Nature,Nature Human Behaviour
2379-5042,American Society for Microbiology,mSphere
2379-3708,American Society for Clinical Investigation,JCI Insight
2369-1999,JMIR Publications Inc.,JMIR Cancer
2313-0105,MDPI AG,Batteries
2304-8158,MDPI AG,Foods
2227-9059,MDPI AG,Biomedicines
2227-7099,MDPI AG,Economies
2227-7072,MDPI AG,International Journal of Financial Studies
2158-0022,Mary Ann Liebert,Brain Connectivity
2158-0014,Mary Ann Liebert,Brain Connectivity
2152-7202,JMIR Publications Inc.,Journal of Participatory Medicine
2079-3197,MDPI AG,Computation
2076-3298,MDPI AG,Environments
2076-0817,MDPI AG,Pathogens
2073-4395,MDPI AG,Agronomy
2056-7944,Springer Nature,npj Genomic Medicine
1754-6834,Springer (Biomed Central Ltd.),Biotechnology for Biofuels
1754-2189,Springer Nature,Nature Protocols
1750-2799,Springer Nature,Nature Protocols
1615-9853,Wiley (John Wiley & Sons),PROTEOMICS
1573-6873,Springer-Verlag,Journal of Computational Neuroscience
1550-6606,The American Association of Immunologists,The Journal of Immunology
1477-9145,The Company of Biologists,Journal of Experimental Biology
1424-2818,MDPI AG,Diversity
1297-9686,Springer (Biomed Central Ltd.),Genetics Selection Evolution
1098-5336,American Society for Microbiology,Applied and Environmental Microbiology
1097-2765,Elsevier ,Molecular Cell
0929-5313,Springer-Verlag,Journal of Computational Neuroscience
0168-9525,Elsevier ,Trends in Genetics
0099-2240,American Society for Microbiology,Applied and Environmental Microbiology
0030-1299,Wiley (Blackwell Publishing),Oikos
0022-1767,The American Association of Immunologists,The Journal of Immunology
0022-0949,The Company of Biologists,Journal of Experimental Biology
0021-8790,Wiley (Blackwell Publishing),Journal of Animal Ecology
0018-067X,Springer Nature,Heredity
0012-9658,Wiley (John Wiley & Sons),Ecology
2472-1751,MIT Press,Network Neuroscience
2410-3896,MDPI AG,Condensed Matter
2409-515X,MDPI AG,International Journal of Neonatal Screening
2304-6767,MDPI AG,Dentistry Journal
2225-1154,MDPI AG,Climate
2223-7747,MDPI AG,Plants
2218-273X,MDPI AG,Biomolecules
2213-6711,Elsevier ,Stem Cell Reports
2156-7085,The Optical Society,Biomedical Optics Express
2150-8925,Wiley (John Wiley & Sons),Ecosphere
2079-7737,MDPI AG,Biology
2079-6382,MDPI AG,Antibiotics
2078-2489,MDPI AG,Information
2077-1312,MDPI AG,Journal of Marine Science and Engineering
2077-0472,MDPI AG,Agriculture
2077-0383,MDPI AG,Journal of Clinical Medicine
2076-3425,MDPI AG,Brain Sciences
2076-328X,MDPI AG,Behavioral Sciences
2076-2615,MDPI AG,Animals
2075-5309,MDPI AG,Buildings
2075-1729,MDPI AG,Life
2056-7189,Springer Nature,npj Systems Biology and Applications
1999-4923,MDPI AG,Pharmaceutics
1999-4893,MDPI AG,Algorithms
1946-6242,American Association for the Advancement of Science (AAAS),Science Translational Medicine
1946-6234,American Association for the Advancement of Science (AAAS),Science Translational Medicine
1939-4586,American Society for Cell Biology,Molecular Biology of the Cell
1929-073X,JMIR Publications Inc.,Interactive Journal of Medical Research
1744-6848,The Royal Society of Chemistry,Soft Matter
1744-683X,The Royal Society of Chemistry,Soft Matter
1664-1078,Frontiers Media SA,Frontiers in Psychology
1662-5137,Frontiers Media SA,Frontiers in Systems Neuroscience
1552-5007,Wiley (John Wiley & Sons),Journal of Experimental Zoology Part B Molecular and Developmental Evolution
1549-9626,American Chemical Society,Journal of Chemical Theory and Computation
1549-9618,American Chemical Society,Journal of Chemical Theory and Computation
1545-9993,Springer Nature,Nature Structural & Molecular Biology
1545-9985,Springer Nature,Nature Structural & Molecular Biology
1534-7362,Association for Research in Vision and Ophthalmology (ARVO),Journal of Vision
1530-888X,MIT Press,Neural Computation
1520-4995,American Chemical Society,Biochemistry
1468-4357,Oxford University Press,Biostatistics
1465-4644,Oxford University Press,Biostatistics
1432-1211,Springer-Verlag,Immunogenetics
1432-1203,Springer-Verlag,Human Genetics
1356-9597,Wiley (Blackwell Publishing),Genes to Cells
1059-1524,American Society for Cell Biology,Molecular Biology of the Cell
1050-9631,Wiley (John Wiley & Sons),Hippocampus
1047-8477,Elsevier ,Journal of Structural Biology
0973-7731,Springer-Verlag,Journal of Genetics
0899-7667,MIT Press,Neural Computation
0749-503X,Wiley (Blackwell Publishing),Yeast
0340-6717,Springer-Verlag,Human Genetics
